"stopped","stop_round","rep_n_per_slice","target_n","total_evals","max_U95","max_true_p","recent_novelty","N_err","Mhat","true_missing","missed_new_types_200","premature_stop","scenario","rule","replicate"
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,88,0.0227272727272727,0,0,FALSE,"safe_short_tail","fixed_budget",85
TRUE,12,300,300,1500,0.0302503954197378,0.004,2,78,0.0384615384615385,0.0140485795983632,1,FALSE,"safe_short_tail","fixed_budget",86
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,76,0.0263157894736842,0,0,FALSE,"safe_short_tail","fixed_budget",87
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,77,0.038961038961039,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",88
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,89,0,0.0210158348887922,1,FALSE,"safe_short_tail","fixed_budget",89
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,72,0.0277777777777778,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",90
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,90,0.0444444444444444,0,0,FALSE,"safe_short_tail","fixed_budget",91
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,77,0.038961038961039,0.0619036715334038,2,FALSE,"safe_short_tail","fixed_budget",92
TRUE,12,300,300,1500,0.00993608194445772,0.004,1,80,0.0375,0,0,FALSE,"safe_short_tail","fixed_budget",93
TRUE,12,300,300,1500,0.0302503954197378,0.004,1,74,0.0405405405405405,0.0298778198921619,0,FALSE,"safe_short_tail","fixed_budget",94
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,54,0.0555555555555556,0.0756770144238087,2,FALSE,"safe_short_tail","fixed_budget",95
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,62,0.0161290322580645,0.0728341473537902,1,FALSE,"safe_short_tail","fixed_budget",96
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,67,0.0597014925373134,0,0,FALSE,"safe_short_tail","fixed_budget",97
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,77,0.038961038961039,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",98
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,82,0.0121951219512195,0.0158685192031176,1,FALSE,"safe_short_tail","fixed_budget",99
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,72,0.0277777777777778,0.0987421375650903,3,FALSE,"safe_short_tail","fixed_budget",100
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,71,0.0422535211267606,0.0247833596428546,1,FALSE,"safe_short_tail","fixed_budget",101
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,67,0.0597014925373134,0.0210158348887922,1,FALSE,"safe_short_tail","fixed_budget",102
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,77,0.025974025974026,0,0,FALSE,"safe_short_tail","fixed_budget",103
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,83,0.0481927710843374,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",104
TRUE,12,300,300,1500,0.0208362305270247,0.004,3,67,0.0298507462686567,0.0181336889094548,0,FALSE,"safe_short_tail","fixed_budget",105
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,88,0.0340909090909091,0.0247833596428546,0,FALSE,"safe_short_tail","fixed_budget",106
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,82,0.048780487804878,0.0298778198921619,1,FALSE,"safe_short_tail","fixed_budget",107
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,83,0.0481927710843374,0.0158685192031176,0,FALSE,"safe_short_tail","fixed_budget",108
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,78,0.0512820512820513,0.0181336889094548,0,FALSE,"safe_short_tail","fixed_budget",109
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,74,0.0135135135135135,0.0350644144871554,1,FALSE,"safe_short_tail","fixed_budget",110
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,80,0.025,0.0511230034286891,1,FALSE,"safe_short_tail","fixed_budget",111
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,67,0.0447761194029851,0.0569656281506726,3,FALSE,"safe_short_tail","fixed_budget",112
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,83,0.036144578313253,0.0247833596428546,0,FALSE,"safe_short_tail","fixed_budget",113
TRUE,12,300,300,1500,0.00993608194445772,0.004,2,67,0.0895522388059701,0,0,FALSE,"safe_short_tail","fixed_budget",114
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,82,0.024390243902439,0,0,FALSE,"safe_short_tail","fixed_budget",115
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,77,0.038961038961039,0.0158685192031176,0,FALSE,"safe_short_tail","fixed_budget",116
TRUE,12,300,300,1500,0.0256413930826096,0.004,2,69,0.0289855072463768,0.032182268507818,2,FALSE,"safe_short_tail","fixed_budget",117
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,71,0.0563380281690141,0.0298778198921619,1,FALSE,"safe_short_tail","fixed_budget",118
TRUE,12,300,300,1500,0.0208362305270247,0.004,3,76,0.0789473684210526,0,0,FALSE,"safe_short_tail","fixed_budget",119
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,79,0.0379746835443038,0.0350644144871554,1,FALSE,"safe_short_tail","fixed_budget",120
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,66,0.0454545454545455,0.0158685192031176,1,FALSE,"safe_short_tail","fixed_budget",121
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,77,0.025974025974026,0.0368843540919098,1,FALSE,"safe_short_tail","fixed_budget",122
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,80,0.0375,0.0210158348887922,1,FALSE,"safe_short_tail","fixed_budget",123
TRUE,12,300,300,1500,0.0302503954197378,0.004,0,77,0.012987012987013,0.0547004584443355,1,FALSE,"safe_short_tail","fixed_budget",124
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,76,0.0394736842105263,0.0688709268238327,2,FALSE,"safe_short_tail","fixed_budget",125
TRUE,12,300,300,1500,0.0157145548915839,0.004,3,63,0.0158730158730159,0.0340022081125724,1,FALSE,"safe_short_tail","fixed_budget",126
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,77,0.038961038961039,0.0158685192031176,1,FALSE,"safe_short_tail","fixed_budget",127
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,74,0.0405405405405405,0,0,FALSE,"safe_short_tail","fixed_budget",128
